WHO Region Code,WHO Region,Country Code,Country,Year,Sex,Alcohol total per capita (15+) consumption in liters (numeric),Alcohol total per capita (15+) consumption in liters (low estimation),Alcohol total per capita (15+) consumption in liters (high estimation),Alcohol total per capita (15+) consumption in liters (string)
EMR,Eastern Mediterranean,SOM,Somalia,2013,Both sexes,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SOM,Somalia,2013,Female,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SOM,Somalia,2013,Male,0.0,0.0,0.0,0 [0 – 0]
SEAR,South-East Asia,BGD,Bangladesh,2013,Female,0.001,0.0,0.007,0.001 [0 – 0.007]
EMR,Eastern Mediterranean,AFG,Afghanistan,2013,Female,0.003,0.002,0.015,0.003 [0.002 – 0.015]
SEAR,South-East Asia,BGD,Bangladesh,2013,Both sexes,0.004,0.0,0.026,0.004 [0 – 0.026]
SEAR,South-East Asia,BGD,Bangladesh,2013,Male,0.007,0.0001,0.044,0.007 [0.0001 – 0.044]
EMR,Eastern Mediterranean,LBY,Libya,2013,Female,0.012,0.0005,0.065,0.012 [0.0005 – 0.065]
EMR,Eastern Mediterranean,AFG,Afghanistan,2013,Both sexes,0.013,0.009,0.056,0.013 [0.009 – 0.056]
EMR,Eastern Mediterranean,YEM,Yemen,2013,Female,0.016,0.007,0.056,0.016 [0.007 – 0.056]
EMR,Eastern Mediterranean,AFG,Afghanistan,2013,Male,0.022,0.015,0.095,0.022 [0.015 – 0.095]
EMR,Eastern Mediterranean,LBY,Libya,2013,Both sexes,0.045,0.002,0.24,0.045 [0.002 – 0.24]
EMR,Eastern Mediterranean,EGY,Egypt,2013,Female,0.051,0.035,0.082,0.051 [0.035 – 0.082]
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2013,Female,0.059,0.034,0.12,0.059 [0.034 – 0.12]
EMR,Eastern Mediterranean,YEM,Yemen,2013,Both sexes,0.061,0.025,0.2,0.061 [0.025 – 0.2]
EMR,Eastern Mediterranean,PAK,Pakistan,2013,Female,0.063,0.009,0.13,0.063 [0.009 – 0.13]
EMR,Eastern Mediterranean,LBY,Libya,2013,Male,0.078,0.003,0.42,0.078 [0.003 – 0.42]
SEAR,South-East Asia,IDN,Indonesia,2013,Female,0.093,0.033,0.21,0.093 [0.033 – 0.21]
EMR,Eastern Mediterranean,YEM,Yemen,2013,Male,0.11,0.044,0.35,0.11 [0.044 – 0.35]
EMR,Eastern Mediterranean,IRQ,Iraq,2013,Female,0.11,0.049,0.22,0.11 [0.049 – 0.22]
WPR,Western Pacific,TON,Tonga,2013,Female,0.11,0.056,0.23,0.11 [0.056 – 0.23]
EMR,Eastern Mediterranean,MAR,Morocco,2013,Female,0.12,0.087,0.2,0.12 [0.087 – 0.2]
AFR,Africa,NER,Niger,2013,Female,0.13,0.046,0.27,0.13 [0.046 – 0.27]
AFR,Africa,COM,Comoros,2013,Female,0.13,0.051,0.26,0.13 [0.051 – 0.26]
AFR,Africa,SEN,Senegal,2013,Female,0.14,0.063,0.28,0.14 [0.063 – 0.28]
EMR,Eastern Mediterranean,DJI,Djibouti,2013,Female,0.14,0.092,0.22,0.14 [0.092 – 0.22]
AFR,Africa,DZA,Algeria,2013,Female,0.14,0.11,0.2,0.14 [0.11 – 0.2]
EMR,Eastern Mediterranean,JOR,Jordan,2013,Female,0.16,0.081,0.28,0.16 [0.081 – 0.28]
SEAR,South-East Asia,NPL,Nepal,2013,Female,0.17,0.11,0.32,0.17 [0.11 – 0.32]
EUR,Europe,AZE,Azerbaijan,2013,Female,0.17,0.14,0.23,0.17 [0.14 – 0.23]
EMR,Eastern Mediterranean,OMN,Oman,2013,Female,0.19,0.11,0.3,0.19 [0.11 – 0.3]
EMR,Eastern Mediterranean,EGY,Egypt,2013,Both sexes,0.19,0.13,0.29,0.19 [0.13 – 0.29]
EMR,Eastern Mediterranean,PAK,Pakistan,2013,Both sexes,0.2,0.037,0.51,0.2 [0.037 – 0.51]
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2013,Both sexes,0.23,0.13,0.43,0.23 [0.13 – 0.43]
SEAR,South-East Asia,TLS,Timor-Leste,2013,Female,0.23,0.18,0.36,0.23 [0.18 – 0.36]
EUR,Europe,TJK,Tajikistan,2013,Female,0.25,0.21,0.3,0.25 [0.21 – 0.3]
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2013,Female,0.26,0.085,0.5,0.26 [0.085 – 0.5]
WPR,Western Pacific,BRN,Brunei Darussalam,2013,Female,0.26,0.088,0.54,0.26 [0.088 – 0.54]
SEAR,South-East Asia,BTN,Bhutan,2013,Female,0.31,0.14,0.52,0.31 [0.14 – 0.52]
AFR,Africa,GIN,Guinea,2013,Female,0.31,0.14,0.53,0.31 [0.14 – 0.53]
SEAR,South-East Asia,IDN,Indonesia,2013,Both sexes,0.32,0.11,0.71,0.32 [0.11 – 0.71]
WPR,Western Pacific,TON,Tonga,2013,Both sexes,0.32,0.16,0.63,0.32 [0.16 – 0.63]
EMR,Eastern Mediterranean,EGY,Egypt,2013,Male,0.33,0.23,0.51,0.33 [0.23 – 0.51]
EMR,Eastern Mediterranean,PAK,Pakistan,2013,Male,0.34,0.063,0.88,0.34 [0.063 – 0.88]
WPR,Western Pacific,MYS,Malaysia,2013,Female,0.36,0.19,0.57,0.36 [0.19 – 0.57]
AFR,Africa,MLI,Mali,2013,Female,0.36,0.21,0.54,0.36 [0.21 – 0.54]
EMR,Eastern Mediterranean,QAT,Qatar,2013,Female,0.37,0.21,0.5,0.37 [0.21 – 0.5]
EMR,Eastern Mediterranean,IRQ,Iraq,2013,Both sexes,0.38,0.18,0.76,0.38 [0.18 – 0.76]
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2013,Male,0.39,0.23,0.75,0.39 [0.23 – 0.75]
SEAR,South-East Asia,MDV,Maldives,2013,Female,0.42,0.24,0.6,0.42 [0.24 – 0.6]
AFR,Africa,NER,Niger,2013,Both sexes,0.43,0.15,0.89,0.43 [0.15 – 0.89]
SEAR,South-East Asia,NPL,Nepal,2013,Both sexes,0.45,0.27,0.81,0.45 [0.27 – 0.81]
EMR,Eastern Mediterranean,BHR,Bahrain,2013,Female,0.45,0.31,0.57,0.45 [0.31 – 0.57]
EMR,Eastern Mediterranean,TUN,Tunisia,2013,Female,0.46,0.32,0.66,0.46 [0.32 – 0.66]
EMR,Eastern Mediterranean,MAR,Morocco,2013,Both sexes,0.46,0.33,0.69,0.46 [0.33 – 0.69]
AFR,Africa,SEN,Senegal,2013,Both sexes,0.47,0.2,0.89,0.47 [0.2 – 0.89]
WPR,Western Pacific,SLB,Solomon Islands,2013,Female,0.47,0.33,0.66,0.47 [0.33 – 0.66]
AFR,Africa,COM,Comoros,2013,Both sexes,0.5,0.2,0.97,0.5 [0.2 – 0.97]
EMR,Eastern Mediterranean,LBN,Lebanon,2013,Female,0.5,0.38,0.69,0.5 [0.38 – 0.69]
AFR,Africa,ETH,Ethiopia,2013,Female,0.51,0.29,0.76,0.51 [0.29 – 0.76]
EUR,Europe,AZE,Azerbaijan,2013,Both sexes,0.51,0.42,0.67,0.51 [0.42 – 0.67]
EMR,Eastern Mediterranean,DJI,Djibouti,2013,Both sexes,0.53,0.36,0.87,0.53 [0.36 – 0.87]
AFR,Africa,DZA,Algeria,2013,Both sexes,0.53,0.44,0.72,0.53 [0.44 – 0.72]
SEAR,South-East Asia,IDN,Indonesia,2013,Male,0.54,0.19,1.22,0.54 [0.19 – 1.22]
WPR,Western Pacific,TON,Tonga,2013,Male,0.54,0.26,1.06,0.54 [0.26 – 1.06]
WPR,Western Pacific,BRN,Brunei Darussalam,2013,Both sexes,0.55,0.19,1.13,0.55 [0.19 – 1.13]
EUR,Europe,TUR,Turkey,2013,Female,0.57,0.39,0.84,0.57 [0.39 – 0.84]
EMR,Eastern Mediterranean,JOR,Jordan,2013,Both sexes,0.58,0.3,1.04,0.58 [0.3 – 1.04]
SEAR,South-East Asia,TLS,Timor-Leste,2013,Both sexes,0.58,0.45,0.88,0.58 [0.45 – 0.88]
SEAR,South-East Asia,MMR,Myanmar,2013,Female,0.59,0.49,0.78,0.59 [0.49 – 0.78]
AFR,Africa,COD,Democratic Republic of the Congo,2013,Female,0.6,0.38,0.88,0.6 [0.38 – 0.88]
EMR,Eastern Mediterranean,IRQ,Iraq,2013,Male,0.65,0.3,1.3,0.65 [0.3 – 1.3]
WPR,Western Pacific,PNG,Papua New Guinea,2013,Female,0.65,0.42,0.92,0.65 [0.42 – 0.92]
EUR,Europe,UZB,Uzbekistan,2013,Female,0.67,0.55,0.82,0.67 [0.55 – 0.82]
AFR,Africa,MDG,Madagascar,2013,Female,0.7,0.44,1.02,0.7 [0.44 – 1.02]
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2013,Female,0.71,0.53,1.11,0.71 [0.53 – 1.11]
WPR,Western Pacific,VUT,Vanuatu,2013,Female,0.72,0.45,1.05,0.72 [0.45 – 1.05]
AFR,Africa,KEN,Kenya,2013,Female,0.72,0.56,0.93,0.72 [0.56 – 0.93]
AFR,Africa,NER,Niger,2013,Male,0.74,0.27,1.54,0.74 [0.27 – 1.54]
EMR,Eastern Mediterranean,OMN,Oman,2013,Both sexes,0.75,0.47,1.16,0.75 [0.47 – 1.16]
AFR,Africa,MOZ,Mozambique,2013,Female,0.75,0.5,1.09,0.75 [0.5 – 1.09]
AFR,Africa,ERI,Eritrea,2013,Female,0.77,0.48,1.07,0.77 [0.48 – 1.07]
AMR,Americas,GTM,Guatemala,2013,Female,0.77,0.67,0.93,0.77 [0.67 – 0.93]
AFR,Africa,TCD,Chad,2013,Female,0.78,0.46,1.18,0.78 [0.46 – 1.18]
SEAR,South-East Asia,NPL,Nepal,2013,Male,0.78,0.5,1.48,0.78 [0.5 – 1.48]
WPR,Western Pacific,WSM,Samoa,2013,Female,0.79,0.58,1.02,0.79 [0.58 – 1.02]
WPR,Western Pacific,BRN,Brunei Darussalam,2013,Male,0.81,0.28,1.64,0.81 [0.28 – 1.64]
EUR,Europe,TJK,Tajikistan,2013,Both sexes,0.81,0.69,0.96,0.81 [0.69 – 0.96]
AFR,Africa,CIV,Côte d’Ivoire,2013,Female,0.82,0.57,1.11,0.82 [0.57 – 1.11]
EMR,Eastern Mediterranean,MAR,Morocco,2013,Male,0.82,0.58,1.23,0.82 [0.58 – 1.23]
AFR,Africa,SEN,Senegal,2013,Male,0.84,0.37,1.6,0.84 [0.37 – 1.6]
SEAR,South-East Asia,BTN,Bhutan,2013,Both sexes,0.84,0.4,1.48,0.84 [0.4 – 1.48]
WPR,Western Pacific,TUV,Tuvalu,2013,Female,0.85,0.63,1.12,0.85 [0.63 – 1.12]
AFR,Africa,COM,Comoros,2013,Male,0.87,0.35,1.68,0.87 [0.35 – 1.68]
EUR,Europe,AZE,Azerbaijan,2013,Male,0.87,0.73,1.15,0.87 [0.73 – 1.15]
EMR,Eastern Mediterranean,DJI,Djibouti,2013,Male,0.88,0.59,1.42,0.88 [0.59 – 1.42]
WPR,Western Pacific,KIR,Kiribati,2013,Female,0.91,0.41,1.46,0.91 [0.41 – 1.46]
AFR,Africa,GIN,Guinea,2013,Both sexes,0.91,0.42,1.53,0.91 [0.42 – 1.53]
AFR,Africa,TGO,Togo,2013,Female,0.91,0.62,1.27,0.91 [0.62 – 1.27]
AFR,Africa,DZA,Algeria,2013,Male,0.91,0.75,1.23,0.91 [0.75 – 1.23]
SEAR,South-East Asia,TLS,Timor-Leste,2013,Male,0.92,0.72,1.39,0.92 [0.72 – 1.39]
WPR,Western Pacific,MYS,Malaysia,2013,Both sexes,0.98,0.52,1.55,0.98 [0.52 – 1.55]
EMR,Eastern Mediterranean,JOR,Jordan,2013,Male,0.99,0.51,1.75,0.99 [0.51 – 1.75]
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2013,Both sexes,1.01,0.36,1.87,1.01 [0.36 – 1.87]
EMR,Eastern Mediterranean,OMN,Oman,2013,Male,1.01,0.58,1.42,1.01 [0.58 – 1.42]
AFR,Africa,BEN,Benin,2013,Female,1.03,0.72,1.38,1.03 [0.72 – 1.38]
WPR,Western Pacific,FSM,Micronesia (Federated States of),2013,Female,1.03,0.73,1.33,1.03 [0.73 – 1.33]
WPR,Western Pacific,SGP,Singapore,2013,Female,1.09,0.78,1.38,1.09 [0.78 – 1.38]
AMR,Americas,HTI,Haiti,2013,Female,1.09,0.88,1.33,1.09 [0.88 – 1.33]
EUR,Europe,TKM,Turkmenistan,2013,Female,1.09,0.95,1.3,1.09 [0.95 – 1.3]
AFR,Africa,GMB,Gambia,2013,Female,1.12,0.79,1.33,1.12 [0.79 – 1.33]
WPR,Western Pacific,FJI,Fiji,2013,Female,1.16,0.85,1.48,1.16 [0.85 – 1.48]
AFR,Africa,MLI,Mali,2013,Both sexes,1.21,0.7,1.81,1.21 [0.7 – 1.81]
SEAR,South-East Asia,LKA,Sri Lanka,2013,Female,1.21,1.02,1.52,1.21 [1.02 – 1.52]
AFR,Africa,NAM,Namibia,2013,Female,1.25,1.01,1.6,1.25 [1.01 – 1.6]
SEAR,South-East Asia,BTN,Bhutan,2013,Male,1.31,0.6,2.26,1.31 [0.6 – 2.26]
EUR,Europe,TJK,Tajikistan,2013,Male,1.37,1.17,1.63,1.37 [1.17 – 1.63]
WPR,Western Pacific,SLB,Solomon Islands,2013,Both sexes,1.38,0.96,1.92,1.38 [0.96 – 1.92]
AFR,Africa,SLE,Sierra Leone,2013,Female,1.38,1.14,1.99,1.38 [1.14 – 1.99]
AFR,Africa,ETH,Ethiopia,2013,Both sexes,1.44,0.81,2.12,1.44 [0.81 – 2.12]
AMR,Americas,HND,Honduras,2013,Female,1.44,1.1,1.78,1.44 [1.1 – 1.78]
AFR,Africa,COD,Democratic Republic of the Congo,2013,Both sexes,1.45,0.93,2.14,1.45 [0.93 – 2.14]
AMR,Americas,SLV,El Salvador,2013,Female,1.46,1.15,1.91,1.46 [1.15 – 1.91]
SEAR,South-East Asia,MMR,Myanmar,2013,Both sexes,1.47,1.21,1.9,1.47 [1.21 – 1.9]
AFR,Africa,GHA,Ghana,2013,Female,1.49,1.05,1.95,1.49 [1.05 – 1.95]
AFR,Africa,MWI,Malawi,2013,Female,1.5,1.09,1.96,1.5 [1.09 – 1.96]
EMR,Eastern Mediterranean,BHR,Bahrain,2013,Both sexes,1.52,1.18,2.0,1.52 [1.18 – 2]
EMR,Eastern Mediterranean,LBN,Lebanon,2013,Both sexes,1.55,1.2,2.04,1.55 [1.2 – 2.04]
WPR,Western Pacific,MYS,Malaysia,2013,Male,1.56,0.82,2.44,1.56 [0.82 – 2.44]
AFR,Africa,CAF,Central African Republic,2013,Female,1.57,1.07,2.08,1.57 [1.07 – 2.08]
EMR,Eastern Mediterranean,QAT,Qatar,2013,Both sexes,1.57,1.15,2.18,1.57 [1.15 – 2.18]
AMR,Americas,JAM,Jamaica,2013,Female,1.6,1.21,2.02,1.6 [1.21 – 2.02]
AFR,Africa,ZMB,Zambia,2013,Female,1.6,1.29,1.96,1.6 [1.29 – 1.96]
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2013,Female,1.61,1.29,2.05,1.61 [1.29 – 2.05]
AMR,Americas,CRI,Costa Rica,2013,Female,1.62,1.27,2.0,1.62 [1.27 – 2]
AFR,Africa,GIN,Guinea,2013,Male,1.63,0.76,2.81,1.63 [0.76 – 2.81]
WPR,Western Pacific,NRU,Nauru,2013,Female,1.66,1.25,2.12,1.66 [1.25 – 2.12]
AFR,Africa,LSO,Lesotho,2013,Female,1.68,1.3,2.13,1.68 [1.3 – 2.13]
EUR,Europe,ISR,Israel,2013,Female,1.68,1.37,2.12,1.68 [1.37 – 2.12]
EMR,Eastern Mediterranean,TUN,Tunisia,2013,Both sexes,1.72,1.22,2.34,1.72 [1.22 – 2.34]
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2013,Male,1.75,0.63,3.21,1.75 [0.63 – 3.21]
AFR,Africa,MUS,Mauritius,2013,Female,1.76,1.24,2.12,1.76 [1.24 – 2.12]
SEAR,South-East Asia,IND,India,2013,Female,1.77,1.3,2.24,1.77 [1.3 – 2.24]
AMR,Americas,GTM,Guatemala,2013,Both sexes,1.81,1.56,2.15,1.81 [1.56 – 2.15]
AFR,Africa,MDG,Madagascar,2013,Both sexes,1.82,1.1,2.63,1.82 [1.1 – 2.63]
AFR,Africa,GNB,Guinea-Bissau,2013,Female,1.83,1.46,2.31,1.83 [1.46 – 2.31]
SEAR,South-East Asia,MDV,Maldives,2013,Both sexes,1.86,1.09,2.76,1.86 [1.09 – 2.76]
EMR,Eastern Mediterranean,QAT,Qatar,2013,Male,1.87,1.16,2.28,1.87 [1.16 – 2.28]
AFR,Africa,KEN,Kenya,2013,Both sexes,1.88,1.45,2.43,1.88 [1.45 – 2.43]
AFR,Africa,ZWE,Zimbabwe,2013,Female,1.88,1.57,2.38,1.88 [1.57 – 2.38]
AFR,Africa,MOZ,Mozambique,2013,Both sexes,1.93,1.29,2.72,1.93 [1.29 – 2.72]
WPR,Western Pacific,PNG,Papua New Guinea,2013,Both sexes,1.94,1.28,2.72,1.94 [1.28 – 2.72]
EUR,Europe,ALB,Albania,2013,Male,10.0,8.38,12.45,10 [8.38 – 12.45]
AMR,Americas,TTO,Trinidad and Tobago,2013,Male,10.15,8.58,12.01,10.15 [8.58 – 12.01]
WPR,Western Pacific,MNG,Mongolia,2013,Both sexes,10.17,8.59,11.82,10.17 [8.59 – 11.82]
EUR,Europe,DNK,Denmark,2013,Both sexes,10.18,8.69,11.84,10.18 [8.69 – 11.84]
AFR,Africa,GNQ,Equatorial Guinea,2013,Both sexes,10.21,8.65,11.96,10.21 [8.65 – 11.96]
WPR,Western Pacific,VNM,Viet Nam,2013,Male,10.22,7.54,12.93,10.22 [7.54 – 12.93]
AFR,Africa,TZA,United Republic of Tanzania,2013,Both sexes,10.26,8.4,12.22,10.26 [8.4 – 12.22]
AMR,Americas,VCT,Saint Vincent and the Grenadines,2013,Male,10.34,8.61,12.13,10.34 [8.61 – 12.13]
AFR,Africa,BWA,Botswana,2013,Male,10.43,9.04,12.39,10.43 [9.04 – 12.39]
EUR,Europe,LVA,Latvia,2013,Both sexes,10.5,8.72,12.48,10.5 [8.72 – 12.48]
EUR,Europe,GRC,Greece,2013,Both sexes,10.54,8.83,12.66,10.54 [8.83 – 12.66]
EUR,Europe,CYP,Cyprus,2013,Both sexes,10.6,8.95,12.28,10.6 [8.95 – 12.28]
AMR,Americas,SUR,Suriname,2013,Male,10.75,8.87,12.6,10.75 [8.87 – 12.6]
WPR,Western Pacific,NZL,New Zealand,2013,Both sexes,10.76,9.34,12.3,10.76 [9.34 – 12.3]
EUR,Europe,AND,Andorra,2013,Both sexes,10.91,9.23,12.43,10.91 [9.23 – 12.43]
AMR,Americas,PRY,Paraguay,2013,Male,10.92,8.78,12.87,10.92 [8.78 – 12.87]
EUR,Europe,NOR,Norway,2013,Male,11.03,9.5,12.63,11.03 [9.5 – 12.63]
AMR,Americas,PER,Peru,2013,Male,11.07,9.25,13.18,11.07 [9.25 – 13.18]
WPR,Western Pacific,CHN,China,2013,Male,11.13,9.08,13.14,11.13 [9.08 – 13.14]
EUR,Europe,SVK,Slovakia,2013,Both sexes,11.2,9.44,12.92,11.2 [9.44 – 12.92]
AMR,Americas,PAN,Panama,2013,Male,11.21,9.23,13.24,11.21 [9.23 – 13.24]
EUR,Europe,PRT,Portugal,2013,Both sexes,11.21,9.37,13.05,11.21 [9.37 – 13.05]
WPR,Western Pacific,PHL,Philippines,2013,Male,11.22,8.74,13.36,11.22 [8.74 – 13.36]
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2013,Both sexes,11.22,9.75,12.72,11.22 [9.75 – 12.72]
EUR,Europe,MLT,Malta,2013,Male,11.23,9.25,13.14,11.23 [9.25 – 13.14]
AFR,Africa,COG,Congo,2013,Male,11.32,8.77,13.84,11.32 [8.77 – 13.84]
WPR,Western Pacific,AUS,Australia,2013,Both sexes,11.32,9.7,12.88,11.32 [9.7 – 12.88]
EUR,Europe,KGZ,Kyrgyzstan,2013,Male,11.37,9.22,13.82,11.37 [9.22 – 13.82]
AMR,Americas,BLZ,Belize,2013,Male,11.44,9.18,13.96,11.44 [9.18 – 13.96]
WPR,Western Pacific,COK,Cook Islands,2013,Both sexes,11.44,9.19,13.7,11.44 [9.19 – 13.7]
EUR,Europe,CHE,Switzerland,2013,Both sexes,11.49,9.89,13.06,11.49 [9.89 – 13.06]
EUR,Europe,FIN,Finland,2013,Both sexes,11.56,9.99,13.17,11.56 [9.99 – 13.17]
EUR,Europe,HUN,Hungary,2013,Both sexes,11.58,9.81,13.35,11.58 [9.81 – 13.35]
EUR,Europe,BGR,Bulgaria,2013,Both sexes,11.61,10.03,13.38,11.61 [10.03 – 13.38]
EUR,Europe,POL,Poland,2013,Both sexes,11.63,9.87,13.48,11.63 [9.87 – 13.48]
AMR,Americas,URY,Uruguay,2013,Male,11.81,9.99,14.18,11.81 [9.99 – 14.18]
EUR,Europe,BIH,Bosnia and Herzegovina,2013,Male,11.83,9.54,14.35,11.83 [9.54 – 14.35]
AMR,Americas,ATG,Antigua and Barbuda,2013,Male,11.84,9.58,14.93,11.84 [9.58 – 14.93]
EUR,Europe,BEL,Belgium,2013,Both sexes,11.86,10.29,13.46,11.86 [10.29 – 13.46]
EUR,Europe,SVN,Slovenia,2013,Both sexes,11.9,10.12,13.66,11.9 [10.12 – 13.66]
AFR,Africa,BDI,Burundi,2013,Male,11.9,9.53,14.62,11.9 [9.53 – 14.62]
EUR,Europe,ISL,Iceland,2013,Male,11.96,10.18,14.1,11.96 [10.18 – 14.1]
EUR,Europe,IRL,Ireland,2013,Both sexes,12.21,10.6,13.87,12.21 [10.6 – 13.87]
EUR,Europe,ROU,Romania,2013,Both sexes,12.22,10.38,14.19,12.22 [10.38 – 14.19]
EUR,Europe,FRA,France,2013,Both sexes,12.43,10.6,14.33,12.43 [10.6 – 14.33]
EUR,Europe,AUT,Austria,2013,Both sexes,12.44,10.8,14.34,12.44 [10.8 – 14.34]
EUR,Europe,ITA,Italy,2013,Male,12.47,10.71,14.88,12.47 [10.71 – 14.88]
AFR,Africa,SYC,Seychelles,2013,Male,12.47,9.82,14.88,12.47 [9.82 – 14.88]
EUR,Europe,LUX,Luxembourg,2013,Both sexes,12.55,10.85,14.3,12.55 [10.85 – 14.3]
EUR,Europe,MNE,Montenegro,2013,Both sexes,12.58,10.75,14.35,12.58 [10.75 – 14.35]
AMR,Americas,GRD,Grenada,2013,Male,12.67,10.36,14.97,12.67 [10.36 – 14.97]
AFR,Africa,STP,Sao Tome and Principe,2013,Male,12.87,10.24,15.51,12.87 [10.24 – 15.51]
EUR,Europe,DEU,Germany,2013,Both sexes,12.92,11.15,14.79,12.92 [11.15 – 14.79]
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2013,Male,12.99,10.89,15.39,12.99 [10.89 – 15.39]
AFR,Africa,CMR,Cameroon,2013,Male,13.03,10.53,15.38,13.03 [10.53 – 15.38]
EUR,Europe,UKR,Ukraine,2013,Both sexes,13.06,10.91,15.14,13.06 [10.91 – 15.14]
AMR,Americas,BRA,Brazil,2013,Male,13.21,11.07,15.7,13.21 [11.07 – 15.7]
SEAR,South-East Asia,THA,Thailand,2013,Male,13.5,11.43,16.1,13.5 [11.43 – 16.1]
EUR,Europe,BLR,Belarus,2013,Both sexes,13.5,11.82,15.23,13.5 [11.82 – 15.23]
EUR,Europe,MDA,Republic of Moldova,2013,Both sexes,13.91,11.84,16.17,13.91 [11.84 – 16.17]
AFR,Africa,SWZ,Eswatini,2013,Male,13.92,11.88,17.04,13.92 [11.88 – 17.04]
AFR,Africa,RWA,Rwanda,2013,Male,13.93,10.93,17.17,13.93 [10.93 – 17.17]
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2013,Male,13.94,11.46,16.67,13.94 [11.46 – 16.67]
EUR,Europe,CZE,Czechia,2013,Both sexes,14.02,12.12,15.96,14.02 [12.12 – 15.96]
EUR,Europe,RUS,Russian Federation,2013,Both sexes,14.04,11.86,16.25,14.04 [11.86 – 16.25]
AFR,Africa,GNQ,Equatorial Guinea,2013,Male,14.22,11.14,15.41,14.22 [11.14 – 15.41]
AFR,Africa,GAB,Gabon,2013,Male,14.23,11.58,16.51,14.23 [11.58 – 16.51]
EUR,Europe,SWE,Sweden,2013,Male,14.31,12.0,16.57,14.31 [12 – 16.57]
AMR,Americas,LCA,Saint Lucia,2013,Male,14.4,11.94,17.37,14.4 [11.94 – 17.37]
AMR,Americas,ARG,Argentina,2013,Male,14.42,12.58,16.93,14.42 [12.58 – 16.93]
AFR,Africa,UGA,Uganda,2013,Both sexes,14.51,12.08,17.2,14.51 [12.08 – 17.2]
AMR,Americas,CHL,Chile,2013,Male,14.55,12.38,16.96,14.55 [12.38 – 16.96]
WPR,Western Pacific,KOR,Republic of Korea,2013,Male,14.56,12.04,17.04,14.56 [12.04 – 17.04]
WPR,Western Pacific,JPN,Japan,2013,Male,14.62,12.42,17.22,14.62 [12.42 – 17.22]
AMR,Americas,DMA,Dominica,2013,Male,14.67,11.78,17.49,14.67 [11.78 – 17.49]
AMR,Americas,CAN,Canada,2013,Male,14.68,12.5,17.28,14.68 [12.5 – 17.28]
EUR,Europe,GEO,Georgia,2013,Male,14.77,12.69,17.55,14.77 [12.69 – 17.55]
EUR,Europe,HRV,Croatia,2013,Male,14.78,12.6,18.81,14.78 [12.6 – 18.81]
AMR,Americas,BRB,Barbados,2013,Male,14.98,12.86,17.74,14.98 [12.86 – 17.74]
EUR,Europe,ESP,Spain,2013,Male,14.99,12.59,17.46,14.99 [12.59 – 17.46]
AMR,Americas,USA,United States of America,2013,Male,15.07,13.09,17.55,15.07 [13.09 – 17.55]
EUR,Europe,EST,Estonia,2013,Both sexes,15.19,12.66,17.91,15.19 [12.66 – 17.91]
EUR,Europe,NLD,Netherlands,2013,Male,15.23,13.19,17.36,15.23 [13.19 – 17.36]
AFR,Africa,BFA,Burkina Faso,2013,Male,15.37,12.24,18.39,15.37 [12.24 – 18.39]
WPR,Western Pacific,NIU,Niue,2013,Male,15.41,12.93,17.84,15.41 [12.93 – 17.84]
AFR,Africa,AGO,Angola,2013,Male,15.42,13.31,18.01,15.42 [13.31 – 18.01]
EUR,Europe,DNK,Denmark,2013,Male,15.69,13.44,18.25,15.69 [13.44 – 18.25]
EUR,Europe,SRB,Serbia,2013,Male,15.85,13.55,18.33,15.85 [13.55 – 18.33]
WPR,Western Pacific,MNG,Mongolia,2013,Male,15.87,13.52,18.52,15.87 [13.52 – 18.52]
AFR,Africa,ZAF,South Africa,2013,Male,16.03,13.44,18.5,16.03 [13.44 – 18.5]
EUR,Europe,LTU,Lithuania,2013,Both sexes,16.33,14.25,18.48,16.33 [14.25 – 18.48]
EUR,Europe,AND,Andorra,2013,Male,16.44,13.71,18.45,16.44 [13.71 – 18.45]
EUR,Europe,CYP,Cyprus,2013,Male,16.54,13.97,19.19,16.54 [13.97 – 19.19]
WPR,Western Pacific,NZL,New Zealand,2013,Male,16.6,14.62,19.28,16.6 [14.62 – 19.28]
EUR,Europe,GRC,Greece,2013,Male,16.74,14.09,20.19,16.74 [14.09 – 20.19]
AFR,Africa,TZA,United Republic of Tanzania,2013,Male,17.01,13.98,20.29,17.01 [13.98 – 20.29]
WPR,Western Pacific,AUS,Australia,2013,Male,17.16,14.76,19.6,17.16 [14.76 – 19.6]
EUR,Europe,LVA,Latvia,2013,Male,17.28,14.9,21.35,17.28 [14.9 – 21.35]
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2013,Male,17.43,15.28,19.9,17.43 [15.28 – 19.9]
